sub_category,download_size,speciality,origin_url,download_url,topic,course,department,course_id,department_id
Differential Equations,10.89 MB,,https://ocw.mit.edu/courses/mathematics/18-152-introduction-to-partial-differential-equations-fall-2011/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-152-fall-2011/18-152-fall-2011.zip,Mathematics,Introduction to Partial Differential Equations,Mathematics,18-152-introduction-to-partial-differential-equations-fall-2011,mathematics
Management,23.44 MB,,https://ocw.mit.edu/courses/materials-science-and-engineering/3-003-principles-of-engineering-practice-spring-2010/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/3/3-003-spring-2010/3-003-spring-2010.zip,Business,Principles of Engineering Practice,Materials Science and Engineering,3-003-principles-of-engineering-practice-spring-2010,materials-science-and-engineering
Physics,8.19 MB,"Atomic, Molecular, Optical Physics",https://ocw.mit.edu/courses/mechanical-engineering/2-717j-optical-engineering-spring-2002/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/2/2-717j-spring-2002/2-717j-spring-2002.zip,Science,Optical Engineering,Mechanical Engineering,2-717j-optical-engineering-spring-2002,mechanical-engineering
Algebra and Number Theory,22.35 MB,,https://ocw.mit.edu/courses/mathematics/18-781-theory-of-numbers-spring-2012/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-781-spring-2012/18-781-spring-2012.zip,Mathematics,Theory of Numbers,Mathematics,18-781-theory-of-numbers-spring-2012,mathematics
Operations Management,24.78 MB,,https://ocw.mit.edu/courses/mechanical-engineering/2-008-design-and-manufacturing-ii-spring-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/2/2-008-spring-2004/2-008-spring-2004.zip,Business,Design and Manufacturing II,Mechanical Engineering,2-008-design-and-manufacturing-ii-spring-2004,mechanical-engineering
Physics,7.06 MB,Thermodynamics,https://ocw.mit.edu/courses/mechanical-engineering/2-60-fundamentals-of-advanced-energy-conversion-spring-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/2/2-60-spring-2004/2-60-spring-2004.zip,Science,Fundamentals of Advanced Energy Conversion,Mechanical Engineering,2-60-fundamentals-of-advanced-energy-conversion-spring-2004,mechanical-engineering
Computation,8.05 MB,,https://ocw.mit.edu/courses/mathematics/18-330-introduction-to-numerical-analysis-spring-2012/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-330-spring-2012/18-330-spring-2012.zip,Mathematics,Introduction to Numerical Analysis,Mathematics,18-330-introduction-to-numerical-analysis-spring-2012,mathematics
Information Technology,11.11 MB,,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-830-database-systems-fall-2010/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-830-fall-2010/6-830-fall-2010.zip,Business,Database Systems,Electrical Engineering and Computer Science,6-830-database-systems-fall-2010,electrical-engineering-and-computer-science
Physics,6.74 MB,Thermodynamics,https://ocw.mit.edu/courses/mechanical-engineering/2-26-compressible-fluid-dynamics-spring-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/2/2-26-spring-2004/2-26-spring-2004.zip,Science,Compressible Fluid Dynamics,Mechanical Engineering,2-26-compressible-fluid-dynamics-spring-2004,mechanical-engineering
Probability and Statistics,10.26 MB,,https://ocw.mit.edu/courses/economics/14-384-time-series-analysis-fall-2013/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/14/14-384-fall-2013/14-384-fall-2013.zip,Mathematics,Time Series Analysis,Economics,14-384-time-series-analysis-fall-2013,economics
Supply Chain Management,16.27 MB,,https://ocw.mit.edu/courses/sloan-school-of-management/15-772j-d-lab-supply-chains-fall-2014/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/15/15-772j-fall-2014/15-772j-fall-2014.zip,Business,D-Lab: Supply Chains,Sloan School of Management,15-772j-d-lab-supply-chains-fall-2014,sloan-school-of-management
Physics,11.55 MB,Classical Mechanics,https://ocw.mit.edu/courses/mechanical-engineering/2-032-dynamics-fall-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/2/2-032-fall-2004/2-032-fall-2004.zip,Science,Dynamics,Mechanical Engineering,2-032-dynamics-fall-2004,mechanical-engineering
Probability and Statistics,20.74 MB,,https://ocw.mit.edu/courses/mathematics/18-650-statistics-for-applications-fall-2016/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-650-fall-2016/18-650-fall-2016.zip,Mathematics,Statistics for Applications ,Mathematics,18-650-statistics-for-applications-fall-2016,mathematics
Organizational Behavior,4.64 MB,,https://ocw.mit.edu/courses/economics/14-11-putting-social-sciences-to-the-test-field-experiments-in-economics-spring-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/14/14-11-spring-2006/14-11-spring-2006.zip,Business,Putting Social Sciences to the Test: Field Experiments in Economics,Economics,14-11-putting-social-sciences-to-the-test-field-experiments-in-economics-spring-2006,economics
