sub_category,download_size,speciality,origin_url,download_url,topic,course,department,course_id,department_id
Public Administration,2.93 MB,Science and Technology Policy,https://ocw.mit.edu/courses/urban-studies-and-planning/11-167-economic-development-technical-capabilities-spring-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/11/11-167-spring-2004/11-167-spring-2004.zip,Social Science,Economic Development & Technical Capabilities,Urban Studies and Planning,11-167-economic-development-technical-capabilities-spring-2004,urban-studies-and-planning
Gender Studies,5.27 MB,,https://ocw.mit.edu/courses/anthropology/21a-231j-gender-sexuality-and-society-spring-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/21A/21a-231j-spring-2006/21a-231j-spring-2006.zip,Society,"Gender, Sexuality, and Society",Anthropology,21a-231j-gender-sexuality-and-society-spring-2006,anthropology
Algebra and Number Theory,4.77 MB,,https://ocw.mit.edu/courses/mathematics/18-727-topics-in-algebraic-geometry-intersection-theory-on-moduli-spaces-spring-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-727-spring-2006/18-727-spring-2006.zip,Mathematics,Topics in Algebraic Geometry: Intersection Theory on Moduli Spaces,Mathematics,18-727-topics-in-algebraic-geometry-intersection-theory-on-moduli-spaces-spring-2006,mathematics
Finance,4.83 MB,,https://ocw.mit.edu/courses/urban-studies-and-planning/11-434j-advanced-topics-in-real-estate-finance-spring-2007/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/11/11-434j-spring-2007/11-434j-spring-2007.zip,Business,Advanced Topics in Real Estate Finance,Urban Studies and Planning,11-434j-advanced-topics-in-real-estate-finance-spring-2007,urban-studies-and-planning
Media Studies,3.11 MB,Digital Media,https://ocw.mit.edu/courses/urban-studies-and-planning/11-947-imaging-the-city-the-place-of-media-in-city-design-and-development-fall-1998/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/11/11-947-fall-1998/11-947-fall-1998.zip,Fine Arts,Imaging the City: The Place of Media in City Design and Development,Urban Studies and Planning,11-947-imaging-the-city-the-place-of-media-in-city-design-and-development-fall-1998,urban-studies-and-planning
Biology,10.13 MB,Biochemistry,https://ocw.mit.edu/courses/sloan-school-of-management/15-136j-principles-and-practice-of-drug-development-fall-2013/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/15/15-136j-fall-2013/15-136j-fall-2013.zip,Science,Principles and Practice of Drug Development (formerly ESD.691J),Sloan School of Management,15-136j-principles-and-practice-of-drug-development-fall-2013,sloan-school-of-management
Computer Science,32.09 MB,Artificial Intelligence,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-863j-natural-language-and-the-computer-representation-of-knowledge-spring-2003/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-863j-spring-2003/6-863j-spring-2003.zip,Engineering,Natural Language and the Computer Representation of Knowledge,Electrical Engineering and Computer Science,6-863j-natural-language-and-the-computer-representation-of-knowledge-spring-2003,electrical-engineering-and-computer-science
Philosophy,4.36 MB,Metaphysics,https://ocw.mit.edu/courses/linguistics-and-philosophy/24-03-relativism-reason-and-reality-spring-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/24/24-03-spring-2005/24-03-spring-2005.zip,Humanities,"Relativism, Reason, and Reality",Linguistics and Philosophy,24-03-relativism-reason-and-reality-spring-2005,linguistics-and-philosophy
Public Administration,5.81 MB,Science and Technology Policy,https://ocw.mit.edu/courses/urban-studies-and-planning/11-941-use-of-joint-fact-finding-in-science-intensive-policy-disputes-part-i-fall-2003/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/11/11-941-fall-2003/11-941-fall-2003.zip,Social Science,"Use of Joint Fact Finding in Science Intensive Policy Disputes, Part I",Urban Studies and Planning,11-941-use-of-joint-fact-finding-in-science-intensive-policy-disputes-part-i-fall-2003,urban-studies-and-planning
Gender Studies,4.99 MB,,https://ocw.mit.edu/courses/anthropology/21a-218j-identity-and-difference-spring-2010/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/21A/21a-218j-spring-2010/21a-218j-spring-2010.zip,Society,Identity and Difference (formerly 21A.218J),Anthropology,21a-218j-identity-and-difference-spring-2010,anthropology
Algebra and Number Theory,3.76 MB,,https://ocw.mit.edu/courses/mathematics/18-318-topics-in-algebraic-combinatorics-spring-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-318-spring-2006/18-318-spring-2006.zip,Mathematics,Topics in Algebraic Combinatorics,Mathematics,18-318-topics-in-algebraic-combinatorics-spring-2006,mathematics
Finance,5.10 MB,,https://ocw.mit.edu/courses/urban-studies-and-planning/11-432j-real-estate-capital-markets-spring-2007/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/11/11-432j-spring-2007/11-432j-spring-2007.zip,Business,Real Estate Capital Markets,Urban Studies and Planning,11-432j-real-estate-capital-markets-spring-2007,urban-studies-and-planning
Architecture,4.61 MB,Environmental Design,https://ocw.mit.edu/courses/urban-studies-and-planning/11-439-revitalizing-urban-main-streets-st-claude-avenue-new-orleans-spring-2009/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/11/11-439-spring-2009/11-439-spring-2009.zip,Fine Arts,"Revitalizing Urban Main Streets: St. Claude Avenue, New Orleans",Urban Studies and Planning,11-439-revitalizing-urban-main-streets-st-claude-avenue-new-orleans-spring-2009,urban-studies-and-planning
Earth Science,49.75 MB,Atmospheric Science,https://ocw.mit.edu/courses/institute-for-data-systems-and-society/ids-410j-modeling-and-assessment-for-policy-spring-2013/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/IDS/ids-410j-spring-2013/ids-410j-spring-2013.zip,Science,Modeling and Assessment for Policy (formerly ESD.864),"Institute for Data, Systems, and Society",ids-410j-modeling-and-assessment-for-policy-spring-2013,institute-for-data-systems-and-society
Materials Science and Engineering,44.25 MB,Electronic Materials,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-772-compound-semiconductor-devices-spring-2003/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-772-spring-2003/6-772-spring-2003.zip,Engineering,Compound Semiconductor Devices,Electrical Engineering and Computer Science,6-772-compound-semiconductor-devices-spring-2003,electrical-engineering-and-computer-science
Philosophy,4.86 MB,,https://ocw.mit.edu/courses/linguistics-and-philosophy/24-200-ancient-philosophy-fall-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/24/24-200-fall-2004/24-200-fall-2004.zip,Humanities,Ancient Philosophy,Linguistics and Philosophy,24-200-ancient-philosophy-fall-2004,linguistics-and-philosophy
Public Administration,5.09 MB,Environmental Policy,https://ocw.mit.edu/courses/urban-studies-and-planning/11-942-use-of-joint-fact-finding-in-science-intensive-policy-disputes-part-ii-spring-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/11/11-942-spring-2004/11-942-spring-2004.zip,Social Science,"Use of Joint Fact Finding in Science Intensive Policy Disputes, Part II",Urban Studies and Planning,11-942-use-of-joint-fact-finding-in-science-intensive-policy-disputes-part-ii-spring-2004,urban-studies-and-planning
Gender Studies,5.43 MB,,https://ocw.mit.edu/courses/linguistics-and-philosophy/24-03-good-food-ethics-and-politics-of-food-spring-2017/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/24/24-03-spring-2017/24-03-spring-2017.zip,Society,Good Food: Ethics and Politics of Food,Linguistics and Philosophy,24-03-good-food-ethics-and-politics-of-food-spring-2017,linguistics-and-philosophy
Algebra and Number Theory,5.87 MB,,https://ocw.mit.edu/courses/mathematics/18-906-algebraic-topology-ii-spring-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-906-spring-2006/18-906-spring-2006.zip,Mathematics,Algebraic Topology II,Mathematics,18-906-algebraic-topology-ii-spring-2006,mathematics
Real Estate,7.12 MB,,https://ocw.mit.edu/courses/urban-studies-and-planning/11-431j-real-estate-finance-and-investment-fall-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/11/11-431j-fall-2006/11-431j-fall-2006.zip,Business,Real Estate Finance and Investment,Urban Studies and Planning,11-431j-real-estate-finance-and-investment-fall-2006,urban-studies-and-planning
Music,4.58 MB,Music History,https://ocw.mit.edu/courses/music-and-theater-arts/21m-235-monteverdi-to-mozart-1600-1800-fall-2013/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/21M/21m-235-fall-2013/21m-235-fall-2013.zip,Fine Arts,Monteverdi to Mozart: 1600-1800,Music and Theater Arts,21m-235-monteverdi-to-mozart-1600-1800-fall-2013,music-and-theater-arts
Biology,67.14 MB,,https://ocw.mit.edu/courses/biological-engineering/20-320-analysis-of-biomolecular-and-cellular-systems-fall-2012/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/20/20-320-fall-2012/20-320-fall-2012.zip,Science,Analysis of Biomolecular and Cellular Systems,Biological Engineering,20-320-analysis-of-biomolecular-and-cellular-systems-fall-2012,biological-engineering
Computer Science,25.60 MB,Theory of Computation,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-895-theory-of-parallel-systems-sma-5509-fall-2003/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-895-fall-2003/6-895-fall-2003.zip,Engineering,Theory of Parallel Systems (SMA 5509),Electrical Engineering and Computer Science,6-895-theory-of-parallel-systems-sma-5509-fall-2003,electrical-engineering-and-computer-science
Philosophy,10.01 MB,Logic,https://ocw.mit.edu/courses/linguistics-and-philosophy/24-242-logic-ii-spring-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/24/24-242-spring-2004/24-242-spring-2004.zip,Humanities,Logic II,Linguistics and Philosophy,24-242-logic-ii-spring-2004,linguistics-and-philosophy
Urban Studies,14.18 MB,Urban Planning,https://ocw.mit.edu/courses/urban-studies-and-planning/11-952-foshan-china-workshop-spring-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/11/11-952-spring-2004/11-952-spring-2004.zip,Social Science,Foshan China Workshop,Urban Studies and Planning,11-952-foshan-china-workshop-spring-2004,urban-studies-and-planning
Global Poverty,30.74 MB,,https://ocw.mit.edu/resources/res-14-001-abdul-latif-jameel-poverty-action-lab-executive-training-evaluating-social-programs-2009-spring-2009/download-resource-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/RES/res-14-001-spring-2009/res-14-001-spring-2009.zip,Society,Abdul Latif Jameel Poverty Action Lab Executive Training: Evaluating Social Programs 2009,Abdul Latif Jameel Poverty Action Lab Executive Training: Evaluating Social Programs 2009,res-14-001-abdul-latif-jameel-poverty-action-lab-executive-training-evaluating-social-programs-2009-spring-2009,resources
Differential Equations,5.64 MB,,https://ocw.mit.edu/courses/mathematics/18-152-introduction-to-partial-differential-equations-fall-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-152-fall-2005/18-152-fall-2005.zip,Mathematics,Introduction to Partial Differential Equations,Mathematics,18-152-introduction-to-partial-differential-equations-fall-2005,mathematics
Real Estate,10.70 MB,,https://ocw.mit.edu/courses/urban-studies-and-planning/11-433j-real-estate-economics-fall-2008/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/11/11-433j-fall-2008/11-433j-fall-2008.zip,Business,Real Estate Economics,Urban Studies and Planning,11-433j-real-estate-economics-fall-2008,urban-studies-and-planning
Media Studies,24.89 MB,Digital Media,https://ocw.mit.edu/courses/global-studies-and-languages/21g-034-media-education-and-the-marketplace-fall-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/21G/21g-034-fall-2005/21g-034-fall-2005.zip,Fine Arts,Media Education and the Marketplace,Global Studies and Languages,21g-034-media-education-and-the-marketplace-fall-2005,global-studies-and-languages
Physics,22.29 MB,Thermodynamics,https://ocw.mit.edu/courses/physics/8-334-statistical-mechanics-ii-statistical-physics-of-fields-spring-2014/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/8/8-334-spring-2014/8-334-spring-2014.zip,Science,Statistical Mechanics II: Statistical Physics of Fields,Physics,8-334-statistical-mechanics-ii-statistical-physics-of-fields-spring-2014,physics
Computer Science,8.80 MB,Computer Design and Engineering,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-896-theory-of-parallel-hardware-sma-5511-spring-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-896-spring-2004/6-896-spring-2004.zip,Engineering,Theory of Parallel Hardware (SMA 5511),Electrical Engineering and Computer Science,6-896-theory-of-parallel-hardware-sma-5511-spring-2004,electrical-engineering-and-computer-science
Linguistics,7.57 MB,Phonology,https://ocw.mit.edu/courses/linguistics-and-philosophy/24-962-advanced-phonology-spring-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/24/24-962-spring-2005/24-962-spring-2005.zip,Humanities,Advanced Phonology,Linguistics and Philosophy,24-962-advanced-phonology-spring-2005,linguistics-and-philosophy
Urban Studies,5.62 MB,Urban Planning,https://ocw.mit.edu/courses/urban-studies-and-planning/11-439-revitalizing-urban-main-streets-mission-hill-egleston-square-boston-spring-2003/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/11/11-439-spring-2003/11-439-spring-2003.zip,Social Science,"Revitalizing Urban Main Streets: Mission Hill & Egleston Square, Boston",Urban Studies and Planning,11-439-revitalizing-urban-main-streets-mission-hill-egleston-square-boston-spring-2003,urban-studies-and-planning
The Developing World,31.17 MB,,https://ocw.mit.edu/courses/edgerton-center/ec-721-wheelchair-design-in-developing-countries-spring-2009/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/EC/ec-721-spring-2009/ec-721-spring-2009.zip,Society,Wheelchair Design in Developing Countries,Edgerton Center,ec-721-wheelchair-design-in-developing-countries-spring-2009,edgerton-center
Calculus,14.55 MB,,https://ocw.mit.edu/courses/mathematics/18-01-single-variable-calculus-fall-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-01-fall-2005/18-01-fall-2005.zip,Mathematics,Single Variable Calculus,Mathematics,18-01-single-variable-calculus-fall-2005,mathematics
Management,29.91 MB,,https://ocw.mit.edu/courses/sloan-school-of-management/15-s50-poker-theory-and-analytics-january-iap-2015/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/15/15-s50-january-iap-2015/15-s50-january-iap-2015.zip,Business,Poker Theory and Analytics,Sloan School of Management,15-s50-poker-theory-and-analytics-january-iap-2015,sloan-school-of-management
Game Design,45.64 MB,,https://ocw.mit.edu/courses/comparative-media-studies-writing/cms-611j-creating-video-games-fall-2014/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/CMS-W/cms-611j-fall-2014/cms-611j-fall-2014.zip,Fine Arts,Creating Video Games,Comparative Media Studies/Writing,cms-611j-creating-video-games-fall-2014,comparative-media-studies-writing
Earth Science,53.24 MB,Geobiology,https://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-007-geobiology-spring-2013/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/12/12-007-spring-2013/12-007-spring-2013.zip,Science,Geobiology,"Earth, Atmospheric, and Planetary Sciences",12-007-geobiology-spring-2013,earth-atmospheric-and-planetary-sciences
Computer Science,6.14 MB,Theory of Computation,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-243j-dynamics-of-nonlinear-systems-fall-2003/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-243j-fall-2003/6-243j-fall-2003.zip,Engineering,Dynamics of Nonlinear Systems,Electrical Engineering and Computer Science,6-243j-dynamics-of-nonlinear-systems-fall-2003,electrical-engineering-and-computer-science
Philosophy,4.09 MB,Epistemology,https://ocw.mit.edu/courses/linguistics-and-philosophy/24-500-topics-in-philosophy-of-mind-self-knowledge-spring-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/24/24-500-spring-2005/24-500-spring-2005.zip,Humanities,Topics in Philosophy of Mind: Self-Knowledge,Linguistics and Philosophy,24-500-topics-in-philosophy-of-mind-self-knowledge-spring-2005,linguistics-and-philosophy
Public Administration,3.64 MB,Environmental Policy,https://ocw.mit.edu/courses/urban-studies-and-planning/11-373-science-politics-and-environmental-policy-fall-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/11/11-373-fall-2004/11-373-fall-2004.zip,Social Science,"Science, Politics, and Environmental Policy",Urban Studies and Planning,11-373-science-politics-and-environmental-policy-fall-2004,urban-studies-and-planning
The Developing World,46.44 MB,,https://ocw.mit.edu/courses/edgerton-center/ec-720j-d-lab-ii-design-spring-2010/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/EC/ec-720j-spring-2010/ec-720j-spring-2010.zip,Society,D-Lab II: Design,Edgerton Center,ec-720j-d-lab-ii-design-spring-2010,edgerton-center
Applied Mathematics,5.80 MB,,https://ocw.mit.edu/courses/mathematics/18-443-statistics-for-applications-fall-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-443-fall-2006/18-443-fall-2006.zip,Mathematics,Statistics for Applications (formerly 18.443),Mathematics,18-443-statistics-for-applications-fall-2006,mathematics
Information Technology,24.89 MB,,https://ocw.mit.edu/courses/global-studies-and-languages/21g-034-media-education-and-the-marketplace-fall-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/21G/21g-034-fall-2005/21g-034-fall-2005.zip,Business,Media Education and the Marketplace,Global Studies and Languages,21g-034-media-education-and-the-marketplace-fall-2005,global-studies-and-languages
Music,5.94 MB,,https://ocw.mit.edu/courses/music-and-theater-arts/21m-250-beethoven-to-mahler-spring-2014/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/21M/21m-250-spring-2014/21m-250-spring-2014.zip,Fine Arts,Beethoven to Mahler,Music and Theater Arts,21m-250-beethoven-to-mahler-spring-2014,music-and-theater-arts
Biology,4.05 MB,Computation and Systems Biology,https://ocw.mit.edu/courses/biological-engineering/20-010j-introduction-to-bioengineering-be-010j-spring-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/20/20-010j-spring-2006/20-010j-spring-2006.zip,Science,Introduction to Bioengineering (BE.010J),Biological Engineering,20-010j-introduction-to-bioengineering-be-010j-spring-2006,biological-engineering
Systems Engineering,6.78 MB,,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-245-multivariable-control-systems-spring-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-245-spring-2004/6-245-spring-2004.zip,Engineering,Multivariable Control Systems,Electrical Engineering and Computer Science,6-245-multivariable-control-systems-spring-2004,electrical-engineering-and-computer-science
Philosophy,6.36 MB,Metaphysics,https://ocw.mit.edu/courses/linguistics-and-philosophy/24-111-philosophy-of-quantum-mechanics-spring-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/24/24-111-spring-2005/24-111-spring-2005.zip,Humanities,Philosophy of Quantum Mechanics,Linguistics and Philosophy,24-111-philosophy-of-quantum-mechanics-spring-2005,linguistics-and-philosophy
Urban Studies,16.41 MB,Urban Planning,https://ocw.mit.edu/courses/urban-studies-and-planning/11-947-new-century-cities-real-estate-digital-technology-and-design-fall-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/11/11-947-fall-2004/11-947-fall-2004.zip,Social Science,"New Century Cities: Real Estate, Digital Technology, and Design",Urban Studies and Planning,11-947-new-century-cities-real-estate-digital-technology-and-design-fall-2004,urban-studies-and-planning
The Developing World,16.27 MB,,https://ocw.mit.edu/courses/sloan-school-of-management/15-772j-d-lab-supply-chains-fall-2014/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/15/15-772j-fall-2014/15-772j-fall-2014.zip,Society,D-Lab: Supply Chains,Sloan School of Management,15-772j-d-lab-supply-chains-fall-2014,sloan-school-of-management
Probability and Statistics,25.61 MB,,https://ocw.mit.edu/courses/mathematics/18-366-random-walks-and-diffusion-fall-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-366-fall-2006/18-366-fall-2006.zip,Mathematics,Random Walks and Diffusion,Mathematics,18-366-random-walks-and-diffusion-fall-2006,mathematics
Leadership,23.63 MB,,https://ocw.mit.edu/courses/sloan-school-of-management/15-279-management-communication-for-undergraduates-fall-2012/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/15/15-279-fall-2012/15-279-fall-2012.zip,Business,Management Communication for Undergraduates,Sloan School of Management,15-279-management-communication-for-undergraduates-fall-2012,sloan-school-of-management
Visual Arts,16.54 MB,Film and Video,https://ocw.mit.edu/courses/literature/21l-011-the-film-experience-fall-2013/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/21L/21l-011-fall-2013/21l-011-fall-2013.zip,Fine Arts,The Film Experience,Literature,21l-011-the-film-experience-fall-2013,literature
Earth Science,8.60 MB,Environmental Science,https://ocw.mit.edu/courses/biological-engineering/20-104j-chemicals-in-the-environment-toxicology-and-public-health-be-104j-spring-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/20/20-104j-spring-2005/20-104j-spring-2005.zip,Science,Chemicals in the Environment: Toxicology and Public Health (BE.104J),Biological Engineering,20-104j-chemicals-in-the-environment-toxicology-and-public-health-be-104j-spring-2005,biological-engineering
Electrical Engineering,14.17 MB,Signal Processing,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-541j-speech-communication-spring-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-541j-spring-2004/6-541j-spring-2004.zip,Engineering,Speech Communication,Electrical Engineering and Computer Science,6-541j-speech-communication-spring-2004,electrical-engineering-and-computer-science
Language,3.66 MB,Japanese,https://ocw.mit.edu/courses/linguistics-and-philosophy/24-946-linguistic-theory-and-the-japanese-language-fall-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/24/24-946-fall-2004/24-946-fall-2004.zip,Humanities,Linguistic Theory and the Japanese Language,Linguistics and Philosophy,24-946-linguistic-theory-and-the-japanese-language-fall-2004,linguistics-and-philosophy
Sociology,12.53 MB,Community Development,https://ocw.mit.edu/courses/urban-studies-and-planning/11-947-race-immigration-and-planning-spring-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/11/11-947-spring-2005/11-947-spring-2005.zip,Social Science,"Race, Immigration, and Planning",Urban Studies and Planning,11-947-race-immigration-and-planning-spring-2005,urban-studies-and-planning
Global Poverty,37.43 MB,,https://ocw.mit.edu/courses/economics/14-73-the-challenge-of-world-poverty-spring-2011/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/14/14-73-spring-2011/14-73-spring-2011.zip,Society,The Challenge of World Poverty,Economics,14-73-the-challenge-of-world-poverty-spring-2011,economics
Applied Mathematics,9.75 MB,,https://ocw.mit.edu/courses/mathematics/18-303-linear-partial-differential-equations-fall-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-303-fall-2006/18-303-fall-2006.zip,Mathematics,Linear Partial Differential Equations,Mathematics,18-303-linear-partial-differential-equations-fall-2006,mathematics
Entrepreneurship,11.81 MB,,https://ocw.mit.edu/courses/sloan-school-of-management/15-369-seminar-in-corporate-entrepreneurship-fall-2015/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/15/15-369-fall-2015/15-369-fall-2015.zip,Business,Seminar in Corporate Entrepreneurship,Sloan School of Management,15-369-seminar-in-corporate-entrepreneurship-fall-2015,sloan-school-of-management
Game Design,37.20 MB,,https://ocw.mit.edu/courses/comparative-media-studies-writing/cms-631-data-storytelling-studio-climate-change-spring-2017/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/CMS-W/cms-631-spring-2017/cms-631-spring-2017.zip,Fine Arts,Data Storytelling Studio: Climate Change,Comparative Media Studies/Writing,cms-631-data-storytelling-studio-climate-change-spring-2017,comparative-media-studies-writing
Biology,4.69 MB,Molecular Biology,https://ocw.mit.edu/courses/biological-engineering/20-442-molecular-structure-of-biological-materials-be-442-fall-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/20/20-442-fall-2005/20-442-fall-2005.zip,Science,Molecular Structure of Biological Materials (BE.442),Biological Engineering,20-442-molecular-structure-of-biological-materials-be-442-fall-2005,biological-engineering
Computer Science,8.58 MB,Artificial Intelligence,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-801-machine-vision-fall-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-801-fall-2004/6-801-fall-2004.zip,Engineering,Machine Vision,Electrical Engineering and Computer Science,6-801-machine-vision-fall-2004,electrical-engineering-and-computer-science
Linguistics,3.80 MB,Syntax,https://ocw.mit.edu/courses/linguistics-and-philosophy/24-960-syntactic-models-spring-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/24/24-960-spring-2006/24-960-spring-2006.zip,Humanities,Syntactic Models,Linguistics and Philosophy,24-960-syntactic-models-spring-2006,linguistics-and-philosophy
Urban Studies,14.33 MB,,https://ocw.mit.edu/courses/urban-studies-and-planning/11-941-disaster-vulnerability-and-resilience-spring-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/11/11-941-spring-2005/11-941-spring-2005.zip,Social Science,"Disaster, Vulnerability and Resilience",Urban Studies and Planning,11-941-disaster-vulnerability-and-resilience-spring-2005,urban-studies-and-planning
Gender Studies,6.70 MB,,https://ocw.mit.edu/courses/womens-and-gender-studies/wgs-301j-feminist-thought-fall-2014/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/WGS/wgs-301j-fall-2014/wgs-301j-fall-2014.zip,Society,Feminist Thought,Women's and Gender Studies,wgs-301j-feminist-thought-fall-2014,womens-and-gender-studies
Topology and Geometry,9.17 MB,,https://ocw.mit.edu/courses/mathematics/18-969-topics-in-geometry-dirac-geometry-fall-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-969-fall-2006/18-969-fall-2006.zip,Mathematics,Topics in Geometry: Dirac Geometry,Mathematics,18-969-topics-in-geometry-dirac-geometry-fall-2006,mathematics
Health Care Management,8.82 MB,,https://ocw.mit.edu/courses/sloan-school-of-management/15-es718-global-health-innovation-delivering-targeted-advice-to-an-organization-in-the-field-spring-2015/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/15/15-es718-spring-2015/15-es718-spring-2015.zip,Business,Global Health Innovation: Delivering Targeted Advice to an Organization in the Field,Sloan School of Management,15-es718-global-health-innovation-delivering-targeted-advice-to-an-organization-in-the-field-spring-2015,sloan-school-of-management
Performance Arts,6.62 MB,,https://ocw.mit.edu/courses/global-studies-and-languages/21g-067j-cultural-performances-of-asia-fall-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/21G/21g-067j-fall-2005/21g-067j-fall-2005.zip,Fine Arts,Cultural Performances of Asia,Global Studies and Languages,21g-067j-cultural-performances-of-asia-fall-2005,global-studies-and-languages
Biology,6.03 MB,Biochemistry,https://ocw.mit.edu/courses/biological-engineering/20-440-analysis-of-biological-networks-be-440-fall-2004/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/20/20-440-fall-2004/20-440-fall-2004.zip,Science,Analysis of Biological Networks (BE.440),Biological Engineering,20-440-analysis-of-biological-networks-be-440-fall-2004,biological-engineering
